Address,City,State,Zip,AUTO_UNIQUE_ID_2019-08-19_glenpark_address_set_2,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType
5500 COLLEGE AV,Oakland,CA,,1,USCGeocoder,1,218.7437,,4.1,,37.8427663,-122.2513734,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
CONGRESS AV & HIGH ST,Oakland,CA,,2,USCGeocoder,1,31.2507,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
1200 85TH AV,Oakland,CA,,3,USCGeocoder,1,93.7426,,4.1,,37.7516870332587,-122.180518926395,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,3614.12278794823,Meters,03,StreetSegmentInterpolation
95TH AV & INTERNATIONAL BLVD,Oakland,CA,,4,USCGeocoder,1,31.203,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
2400 KINGSLAND AV,Oakland,CA,,5,USCGeocoder,1,31.2385,,4.1,,37.7735522192747,-122.196875073325,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2828.02386185341,Meters,03,StreetSegmentInterpolation
100 MYRTLE ST,Oakland,CA,,6,USCGeocoder,1,93.8108,,4.1,,37.7984359904735,-122.285566102416,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,985.826148883905,Meters,03,StreetSegmentInterpolation
2500 62ND AV,Oakland,CA,,7,USCGeocoder,1,156.2567,,4.1,,37.7689056,-122.1892996,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
1100 32ND ST,Oakland,CA,,8,USCGeocoder,1,78.1368,,4.1,,37.8236085875745,-122.279936582323,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2240.01651687315,Meters,03,StreetSegmentInterpolation
700 30TH ST,Oakland,CA,,9,USCGeocoder,1,93.7516,,4.1,,37.8199476008676,-122.27224510985,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,5004.28649538849,Meters,03,StreetSegmentInterpolation
7600 EARHART RD,Oakland,CA,,10,USCGeocoder,1,78.0693,,4.1,,37.7352634870871,-122.21575610603,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,4994.63932304503,Meters,03,StreetSegmentInterpolation
