Address,City,State,Zip
GREENRIDGE DR & KELLER AV,Oakland,CA,
BELLEVUE AV & PALM AV,Oakland,CA,
72ND AV & OUTLOOK AV,Oakland,CA,
0 SAMARIA LN,Oakland,CA,
1600 LEIMERT BLVD,Oakland,CA,
98TH AV & ARMSTRONG DR,Oakland,CA,
MILES AV & PATTON ST,Oakland,CA,
100 HERMOSA AV,Oakland,CA,
FOOTHILL BLVD & WB I580,Oakland,CA,
6200 CONTRA COSTA RD,Oakland,CA,
1800 MYRTLE ST,Oakland,CA,
3000 ASHBROOK CT,Oakland,CA,
5800 MORAGA AV,Oakland,CA,
800 42ND AV,Oakland,CA,
COOLIDGE AV & DEERING ST,Oakland,CA,
62ND AV & FORTUNE WY,Oakland,CA,
10500 BYRON AV,Oakland,CA,
TAC 3,Oakland,CA,
1200 10TH ST,Oakland,CA,
600 E 21ST ST,Oakland,CA,
800 E 17TH ST,Oakland,CA,
1300 HIGH ST,Oakland,CA,
16TH AV & E 21ST ST,Oakland,CA,
3400 CRANE WY,Oakland,CA,
500 MARTIN ST,Oakland,CA,
1000 ELBERT ST,Oakland,CA,
HARRISON ST & EB I580,Oakland,CA,
600 FLORENCE AV,Oakland,CA,
38TH AV & QUIGLEY ST,Oakland,CA,
2200 TUNNEL RD,Oakland,CA,
10700 BANCROFT AV,Oakland,CA,
400 HEGENBERGER LOOP,Oakland,CA,
EMBARCADERO WEST & JEFFERSON ST,Oakland,CA,
4800 MCDONELL AV,Oakland,CA,
76TH AV & RUDSDALE ST,Oakland,CA,
9100 CASTLEWOOD ST,Oakland,CA,
2000 MANDELA PKWY,Oakland,CA,
4400 HARBOR VIEW AV,Oakland,CA,
7500 SUNKIST DR,Oakland,CA,
JOAQUIN MILLER RD & SB S13,Oakland,CA,
1700 47TH AV,Oakland,CA,
14TH AV & BEAUMONT AV,Oakland,CA,
10TH AV & E 11TH ST,Oakland,CA,
6100 E 16TH ST,Oakland,CA,
2300 TIFFIN RD,Oakland,CA,
4100 KUHNLE AV,Oakland,CA,
3900 MALCOLM AV,Oakland,CA,
6200 WESTWOOD WY,Oakland,CA,
6400 SWAINLAND RD,Oakland,CA,
4200 MAYBELLE AV,Oakland,CA,
62ND AV & EASTLAWN ST,Oakland,CA,
5900 PINEWOOD RD,Oakland,CA,
6900 CHARING CROSS RD,Oakland,CA,
FLEMING AV & MONTICELLO AV,Oakland,CA,
4300 SHORT HILL RD,Oakland,CA,
FLEMING AV & SEMINARY AV,Oakland,CA,
38TH AV & AGUA VISTA ST,Oakland,CA,
10700 MARK ST,Oakland,CA,
10900 NOVELDA DR,Oakland,CA,
51ST AV & VICKSBURG AV,Oakland,CA,
FRUITVALE AV & INTERNATIONAL BLV,Oakland,CA,
900 PARK LN,Oakland,CA,
6200 CROWN AV,Oakland,CA,
1100 GRAND VIEW DR,Oakland,CA,
5300 YUBA AV,Oakland,CA,
4300 REINHARDT DR,Oakland,CA,
3400 PENNIMAN AV,Oakland,CA,
2500 CHESTNUT ST,Oakland,CA,
FERNHOFF RD & SKYLINE BLVD,Oakland,CA,
7100 BANCROFT AV,Oakland,CA,
4000 E 12TH ST,Oakland,CA,
900 E 23RD ST,Oakland,CA,
1400 E 26TH STREET WY,Oakland,CA,
900 LEO WY,Oakland,CA,
BALDWIN ST & MC CLARY AV,Oakland,CA,
GASPAR DR & SNAKE RD,Oakland,CA,
ALICIA ST & MARKET ST,Oakland,CA,
3500 RUBIN DR,Oakland,CA,
4100 OAKMORE RD,Oakland,CA,
47TH AV & SAN CARLOS AV,Oakland,CA,
5000 CAMDEN ST,Oakland,CA,
E 17TH ST & 18TH AV,Oakland,CA,
63RD AV & CAMDEN ST,Oakland,CA,
4TH ST & CASTRO ST,Oakland,CA,
BERGEDO DR & NOVELDA DR,Oakland,CA,
21ST ST & UNION ST,Oakland,CA,
3100 CARLSEN ST,Oakland,CA,
6500 FARALLON WY,Oakland,CA,
E 20TH ST & 5TH AV,Oakland,CA,
E 15TH ST & 31ST AV,Oakland,CA,
BROWN AV & CALIFORNIA ST,Oakland,CA,
200 BRUSH ST,Oakland,CA,
4100 FONTAINE CT,Oakland,CA,
1300 CASTRO ST,Oakland,CA,
LENOX AV & VAN BUREN AV,Oakland,CA,
900 CASTRO ST,Oakland,CA,
2400 ALIDA ST,Oakland,CA,
66TH AV & NB COLISEUM ONRP WY,Oakland,CA,
800 MOUNTAIN BLVD,Oakland,CA,
1200 ALVARADO RD,Oakland,CA,
DUNBAR DR & TUBMAN DR,Oakland,CA,
HUDSON ST & LOCKSLEY AV,Oakland,CA,
0 CLARA CT,Oakland,CA,
E 34TH ST & STUART ST,Oakland,CA,
6TH ST & HARRISON ST,Oakland,CA,
FOOTHILL BLVD & IRVING AV,Oakland,CA,
1100 HEGENBERGER RD,Oakland,CA,
1200 JACKSON ST,Oakland,CA,
5TH AV & NB I880,Oakland,CA,
1700 TRESTLE GLEN RD,Oakland,CA,
6400 MOKELUMNE AV,Oakland,CA,
6400 AVENAL AV,Oakland,CA,
34TH ST & MAGNOLIA ST,Oakland,CA,
3500 BRUNELL DR,Oakland,CA,
BROADWAY TER & CARLTON ST,Oakland,CA,
7200 SNAKE RD,Oakland,CA,
61ST ST & CANNING ST,Oakland,CA,
6400 HILLMONT DR,Oakland,CA,
